ISCO_88_Title_EN,ISCO_88_code,soc10,soc10_title,dup_flag,var6,
Structural-metal preparers and erectors,7214,472171,Reinforcing Iron and Rebar Workers,0,,
Structural-metal preparers and erectors,7214,472221,Structural Iron and Steel Workers,0,,
Structural-metal preparers and erectors,7214,512041,Structural Metal Fabricators and Fitters,0,,
Riggers and cable splicers,7215,499096,Riggers,0,,
Underwater workers,7216,499092,Commercial Divers,0,,
"Blacksmiths, hammer-smiths and forging-press workers",7221,514022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
"Blacksmiths, hammer-smiths and forging-press workers",7221,514199,"Metal Workers and Plastic Workers, All Other",0,,
Tool-makers and related workers,7222,499094,Locksmiths and Safe Repairers,0,,
Tool-makers and related workers,7222,514012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",0,,
Tool-makers and related workers,7222,514061,"Model Makers, Metal and Plastic",0,,
Tool-makers and related workers,7222,514062,"Patternmakers, Metal and Plastic",0,,
Tool-makers and related workers,7222,514111,Tool and Die Makers,0,,
Tool-makers and related workers,7222,514192,"Layout Workers, Metal and Plastic",0,,
Machine-tool setters and setter-operators,7223,514021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
"Metal wheel-grinders, polishers and tool sharpeners",7224,514194,"Tool Grinders, Filers, and Sharpeners",0,,
"Metal wheel-grinders, polishers and tool sharpeners",7224,519022,"Grinding and Polishing Workers, Hand",0,,
,7230,499041,Industrial Machinery Mechanics,3,,
Motor vehicle mechanics and fitters,7231,493021,Automotive Body and Related Repairers,0,,
Motor vehicle mechanics and fitters,7231,493022,Automotive Glass Installers and Repairers,0,,
Motor vehicle mechanics and fitters,7231,493023,Automotive Service Technicians and Mechanics,0,,
Motor vehicle mechanics and fitters,7231,493031,Bus and Truck Mechanics and Diesel Engine Specialists,0,,
Motor vehicle mechanics and fitters,7231,493051,Motorboat Mechanics and Service Technicians,0,,
Motor vehicle mechanics and fitters,7231,493052,Motorcycle Mechanics,0,,
Motor vehicle mechanics and fitters,7231,493053,Outdoor Power Equipment and Other Small Engine Mechanics,0,,
Motor vehicle mechanics and fitters,7231,493091,Bicycle Repairers,0,,
Motor vehicle mechanics and fitters,7231,493092,Recreational Vehicle Service Technicians,0,,
Motor vehicle mechanics and fitters,7231,493093,Tire Repairers and Changers,0,,
Aircraft engine mechanics and fitters,7232,493011,Aircraft Mechanics and Service Technicians,0,,
Agricultural- or industrial-machinery mechanics and fitters,7233,493041,Farm Equipment Mechanics and Service Technicians,0,,
Agricultural- or industrial-machinery mechanics and fitters,7233,493042,"Mobile Heavy Equipment Mechanics, Except Engines",0,,
Agricultural- or industrial-machinery mechanics and fitters,7233,493043,Rail Car Repairers,0,,
Agricultural- or industrial-machinery mechanics and fitters,7233,499021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0,,
Agricultural- or industrial-machinery mechanics and fitters,7233,499041,Industrial Machinery Mechanics,0,,
Agricultural- or industrial-machinery mechanics and fitters,7233,499043,"Maintenance Workers, Machinery",0,,
Agricultural- or industrial-machinery mechanics and fitters,7233,499044,Millwrights,0,,
Agricultural- or industrial-machinery mechanics and fitters,7233,499045,"Refractory Materials Repairers, Except Brickmasons",0,,
Agricultural- or industrial-machinery mechanics and fitters,7233,499081,Wind Turbine Service Technicians,0,,
,7240,492094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",4,,
Electrical mechanics and fitters,7241,474021,Elevator Installers and Repairers,0,,
Electrical mechanics and fitters,7241,492092,"Electric Motor, Power Tool, and Related Repairers",0,,
Electrical mechanics and fitters,7241,492093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0,,
Electrical mechanics and fitters,7241,492094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0,,
Electrical mechanics and fitters,7241,492095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0,,
Electrical mechanics and fitters,7241,492096,"Electronic Equipment Installers and Repairers, Motor Vehicles",0,,
Electrical mechanics and fitters,7241,492098,Security and Fire Alarm Systems Installers,0,,
Electrical mechanics and fitters,7241,493053,Outdoor Power Equipment and Other Small Engine Mechanics,0,,
Electrical mechanics and fitters,7241,499011,Mechanical Door Repairers,0,,
Electrical mechanics and fitters,7241,499012,"Control and Valve Installers and Repairers, Except Mechanical Door",0,,
Electrical mechanics and fitters,7241,499031,Home Appliance Repairers,0,,
Electrical mechanics and fitters,7241,499097,Signal and Track Switch Repairers,0,,
Electronics fitters,7242,492011,"Computer, Automated Teller, and Office Machine Repairers",0,,
Electronics fitters,7242,492091,Avionics Technicians,0,,
Electronics fitters,7242,492093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0,,
Electronics fitters,7242,492094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0,,
Electronics fitters,7242,492095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0,,
Electronics fitters,7242,492096,"Electronic Equipment Installers and Repairers, Motor Vehicles",0,,
Electronics fitters,7242,492097,Electronic Home Entertainment Equipment Installers and Repairers,0,,
Electronics mechanics and servicers,7243,492011,"Computer, Automated Teller, and Office Machine Repairers",0,,
Electronics mechanics and servicers,7243,492022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",0,,
Electronics mechanics and servicers,7243,492093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0,,
Electronics mechanics and servicers,7243,499052,Telecommunications Line Installers and Repairers,0,,
Telegraph and telephone installers and servicers,7244,491011,"First-Line Supervisors of Mechanics, Installers, and Repairers",0,,
"Electrical line installers, repairers and cable jointers",7245,492021,"Radio, Cellular, and Tower Equipment Installers and Repairs",0,,
"Electrical line installers, repairers and cable jointers",7245,499051,Electrical Power-Line Installers and Repairers,0,,
,7300,519199,"Production Workers, All Other",1,,
Precision-instrument makers and repairers,7311,292091,Orthotists and Prosthetists,0,,
Precision-instrument makers and repairers,7311,292092,Hearing Aid Specialists,0,1,
Precision-instrument makers and repairers,7311,491011,"First-Line Supervisors of Mechanics, Installers, and Repairers",0,,
Precision-instrument makers and repairers,7311,499061,Camera and Photographic Equipment Repairers,0,,
Precision-instrument makers and repairers,7311,499062,Medical Equipment Repairers,0,,
Precision-instrument makers and repairers,7311,499064,Watch Repairers,0,,
Precision-instrument makers and repairers,7311,499069,"Precision Instrument and Equipment Repairers, All Other",0,,
Precision-instrument makers and repairers,7311,519081,Dental Laboratory Technicians,0,,
Precision-instrument makers and repairers,7311,519082,Medical Appliance Technicians,0,,
Musical instrument makers and tuners,7312,491011,"First-Line Supervisors of Mechanics, Installers, and Repairers",0,,
Musical instrument makers and tuners,7312,499063,Musical Instrument Repairers and Tuners,0,,
Jewellery and precious-metal workers,7313,519071,Jewelers and Precious Stone and Metal Workers,1,,
"Abrasive wheel formers, potters and related workers",7321,271012,Craft Artists,0,,
"Abrasive wheel formers, potters and related workers",7321,519195,"Molders, Shapers, and Casters, Except Metal and Plastic",0,,
